"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"IRL","GDP","TOT","USD_CAP","A","2016",71793.285749,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"JPN","GDP","TOT","USD_CAP","A","2016",39983.643655,
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NZL","GDP","TOT","USD_CAP","A","2016",39896.683502,
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"CHE","GDP","TOT","USD_CAP","A","2016",68105.138178,
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"USA","GDP","TOT","USD_CAP","A","2016",58000.888034,
"CHL","GDP","TOT","USD_CAP","A","2016",23349.677001,
"CHN","GDP","TOT","USD_CAP","A","2016",13532.915183,
"COL","GDP","TOT","USD_CAP","A","2016",14054.69606,
"EST","GDP","TOT","USD_CAP","A","2016",31574.446846,
"IND","GDP","TOT","USD_CAP","A","2016",5901.21084,
"IDN","GDP","TOT","USD_CAP","A","2016",10610.141435,
"ISR","GDP","TOT","USD_CAP","A","2016",37806.427116,
"RUS","GDP","TOT","USD_CAP","A","2016",24128.081806,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"ZAF","GDP","TOT","USD_CAP","A","2016",12724.643279,
"EU28","GDP","TOT","USD_CAP","A","2016",41013.129497,
"OECD","GDP","TOT","USD_CAP","A","2016",41905.343803,
"OECDE","GDP","TOT","USD_CAP","A","2016",40561.886216,
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"BRA","GDP","TOT","USD_CAP","A","2016",14326.10209,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"SAU","GDP","TOT","USD_CAP","A","2016",46289.738474,
"EA19","GDP","TOT","USD_CAP","A","2016",43562.814562,
"ARG","GDP","TOT","USD_CAP","A","2016",20307.870053,
"CRI","GDP","TOT","USD_CAP","A","2016",19119.336147,
"BGR","GDP","TOT","USD_CAP","A","2016",20019.638626,
"HRV","GDP","TOT","USD_CAP","A","2016",24887.753281,
"CYP","GDP","TOT","USD_CAP","A","2016",35719.036739,
"MLT","GDP","TOT","USD_CAP","A","2016",39792.559916,
"ROU","GDP","TOT","USD_CAP","A","2016",24266.283962,
"MKD","GDP","TOT","USD_CAP","A","2016",15137.967397,"E"
"ZMB","GDP","TOT","USD_CAP","A","2016",3405.832772,
"HKG","GDP","TOT","USD_CAP","A","2016",57221.969152,"E"
"MDG","GDP","TOT","USD_CAP","A","2016",1624.383829,"E"
"MAR","GDP","TOT","USD_CAP","A","2016",7312.810289,"E"
"SGP","GDP","TOT","USD_CAP","A","2016",89396.724443,
